Country Code,ISO-3,Country Name,Player Count
DZ,DZA,Algeria,10000
AO,AGO,Angola,4936
BJ,BEN,Benin,1009
BW,BWA,Botswana,3339
BF,BFA,Burkina Faso,778
BI,BDI,Burundi,361
CM,CMR,Cameroon,4499
CV,CPV,Cabo Verde,660
CF,CAF,Central African Republic,211
TD,TCD,Chad,900
KM,COM,Comoros,289
CG,COG,Congo,738
CD,COD,Congo (DRC),3511
CI,CIV,Côte d'Ivoire,3396
DJ,DJI,Djibouti,890
EG,EGY,Egypt,10000
GQ,GNQ,Equatorial Guinea,225
ER,ERI,Eritrea,465
SZ,SWZ,Eswatini,721
ET,ETH,Ethiopia,10000
GA,GAB,Gabon,758
GM,GMB,Gambia,333
GH,GHA,Ghana,5435
GN,GIN,Guinea,373
GW,GNB,Guinea-Bissau,95
KE,KEN,Kenya,10000
LS,LSO,Lesotho,843
LR,LBR,Liberia,423
LY,LBY,Libya,10000
MG,MDG,Madagascar,7925
MW,MWI,Malawi,2551
ML,MLI,Mali,681
MR,MRT,Mauritania,1840
MU,MUS,Mauritius,3344
MA,MAR,Morocco,10000
MZ,MOZ,Mozambique,2579
NA,NAM,Namibia,2524
NE,NER,Niger,1412
NG,NGA,Nigeria,10000
RW,RWA,Rwanda,993
ST,STP,Sao Tome and Principe,278
SN,SEN,Senegal,2763
SC,SYC,Seychelles,1110
SL,SLE,Sierra Leone,407
SO,SOM,Somalia,4872
ZA,ZAF,South Africa,10000
SS,SSD,South Sudan,627
SD,SDN,Sudan,8261
TZ,TZA,Tanzania,1557
TG,TGO,Togo,1081
TN,TUN,Tunisia,10000
UG,UGA,Uganda,6396
ZM,ZMB,Zambia,7918
ZW,ZWE,Zimbabwe,10000
