username,join_date,last_online,daily_games,daily_rating,rapid_games,rapid_rating,blitz_games,blitz_rating,bullet_games,bullet_rating
0007kr,,,0,,0,,0,,0,
001-brainache,,,0,,40,918,0,,0,
001-knightrider,,,0,,7,922,0,,0,
001_anto,,,0,,0,,0,,0,
00pium_benox,,,0,,94,1154,167,2039,8,100
010binary010,,,0,,197,685,0,,0,
027736mu,,,0,,16,199,0,,0,
03deng,,,0,,11,463,0,,0,
05tilinfinity,,,0,,260,1705,737,1618,4502,1605
0719ami,,,6,526,217,770,217,521,31,431
0769118744pj,,,0,,3,643,0,,0,
0callmepapii11,,,0,,355,623,16,421,5,203
0iqteggy,,,0,,49,913,14,792,0,
0mdsjason,,,1,400,0,,0,,0,
0piyo,,,21,964,1031,690,883,457,214,237
0willyam0,,,19,1086,9049,1714,301,1506,616,1435
0xaerith,,,0,,5,660,30,510,0,
1-fadhela,,,0,,110,504,34,435,0,
1-kira_kun,,,1,625,278,293,0,,7,281
10leveledke,,,33,939,2942,564,270,556,163,259
111queez,,,0,,83,314,0,,0,
1234-chey,,,0,,1,100,0,,0,
1234alfayo,,,1,365,2847,798,42,519,28,368
123connie,,,8,1680,370,1431,296,1062,193,559
123n11111111,,,0,,82,124,19,137,20,121
123_sly,,,0,,47,1191,0,,1,579
12dp34,,,0,,1380,1135,0,,1,1200
12qwe1,,,0,,0,,0,,4,125
12tainjiro,,,0,,4,106,0,,0,
130118p,,,0,,11,475,0,,0,
13otero,,,1,1200,723,970,2068,1080,14,520
13thiikbesttop,,,0,,176,282,0,,0,
18tar,,,0,,3,100,0,,0,
18_willy_18,,,0,,239,837,0,,0,
1amtr3vor,,,0,,0,,0,,0,
1mose,,,7,707,1762,871,18839,749,110,504
1n06h,,,6,591,2921,855,2292,1010,17,660
1qaz123,,,0,,6198,1320,0,,7,829
1surge10,,,0,,0,,0,,0,
1szloco0,,,9,773,570,536,102,242,29,252
1tsdking,,,0,,15,281,0,,0,
1ts_jenny,,,0,,35,1987,0,,0,
1valhella,,,149,935,3034,969,5205,1058,21890,1161
1zenmatt,,,0,,1,400,0,,0,
1_spider,,,0,,58,314,12,434,63,148
20bananas,,,0,,0,,342,1304,0,
2107nderi,,,183,981,3557,738,3939,393,346,100
21jaggernaut,,,1,400,524,816,90,571,21,235
23flinch,,,73,667,1221,906,37,214,207,358
23nofrenzy,,,2,222,1483,962,5,376,4,216
